timestamp,x,y,x_velocity,y_velocity
1540928503078,0.051699143,0.040038757,-0.07233596,54.7882
1540928503410,0.05159176,0.04001045,-44.13804,0.0
1540928503427,0.05157877,0.04001045,-44.15831,-0.025206158
1540928503460,0.05151859,0.04001045,0.0,0.0
1540928503560,0.05151859,0.040233344,-0.1332114,217.35197
1540928503577,0.051544547,0.04098751,33.14964,961.1401
1540928503593,0.051728435,0.04278213,218.62537,2045.1843
1540928503610,0.051846452,0.0448592,194.19989,2436.5042
1540928503627,0.05197108,0.047854345,173.8123,3097.4897
1540928503644,0.05200007,0.050852947,118.216255,3422.8372
1540928503660,0.051936436,0.053989466,7.0766897,3520.1382
1540928503677,0.05173116,0.05682704,-166.94237,3271.71
1540928503694,0.051389262,0.059728865,-324.672,2943.3918
1540928503710,0.051145855,0.062167812,-400.26932,2479.3406
1540928503727,0.05085051,0.06425043,-381.11194,2066.7512
1540928503743,0.050636295,0.06601928,-302.48004,1614.3895
1540928503760,0.05043271,0.06766881,-200.83325,1290.1288
1540928503777,0.050187066,0.06894356,-169.59177,1031.8127
1540928503793,0.04998041,0.07001925,-189.03108,851.1236
1540928503810,0.0498615,0.07077691,-150.83714,631.2219
1540928503827,0.049739886,0.07144193,-113.50506,396.56613
1540928503844,0.04961843,0.07191791,-69.02936,256.60046
1540928503860,0.049532473,0.07224341,-58.443794,179.96275
1540928503877,0.049496137,0.07239039,-39.978558,49.89619
1540928503893,0.049472287,0.07250799,-16.969023,-32.785984
1540928503911,0.049472287,0.07262804,21.151281,-70.82501
1540928503927,0.049472287,0.07274817,34.53861,-10.407516
1540928503943,0.049472287,0.07282147,25.827559,41.45611
1540928503960,0.049472287,0.072923236,15.5265255,75.430016
1540928503977,0.049472287,0.07296826,3.3981824,54.175438
1540928504010,0.049472287,0.07301308,0.041959535,24.651543
1540928504044,0.049472287,0.07307298,0.044383932,5.930828
1540928504093,0.049472287,0.07313287,0.0,0.0
1540928504126,0.049472287,0.07319277,0.0,39.0613
1540928504226,0.049532473,0.07319277,0.0,0.0
1540928504259,0.04959266,0.07319277,0.0,0.0
1540928504292,0.049652845,0.07319277,28.011992,0.0
1540928504376,0.049754865,0.07319277,56.0046,0.0
1540928504392,0.049818072,0.07319277,61.140728,-0.008302331
1540928504409,0.04986349,0.07319277,61.77927,-0.2871241
1540928504426,0.049893584,0.07319277,31.715239,-0.06866752
1540928504443,0.0499707,0.07319277,40.042484,-0.03046335
1540928504476,0.050036605,0.07325266,21.792414,31.611902
1540928504526,0.05015056,0.07332871,51.16192,13.894208
1540928504543,0.050167084,0.07337246,39.87768,40.67579
1540928504559,0.05019451,0.07341936,27.131855,66.741196
1540928504575,0.05019451,0.07346127,22.169619,66.64834
